device_name,device_type,chipset,base_android_os,current_android_os,current_user_interface,official_release_date,source
Oppo Neo 7,Phone,3G model Qualcomm MSM8916 Snapdragon 410 (28 nm) - 4G model,Android 5,Android 4�7,ColorOS 1�3,10/1/2015,https://www.gsmarena.com/oppo_neo_7-7707.php
Oppo R7s,Phone,Qualcomm MSM8939 Snapdragon 615 (28 nm),Android 5,Android 4�7,ColorOS 1�3,10/1/2015,https://www.gsmarena.com/oppo_r7s-7669.php
Oppo R7 lite,Phone,Qualcomm MSM8939 Snapdragon 615 (28 nm),Android 5,Android 4�7,ColorOS 1�3,9/1/2015,https://www.gsmarena.com/oppo_r7_lite-7553.php
Oppo F1s,Phone,Mediatek MT6755 (28 nm) or MTK7650 (28 nm),Android 5,Android 5�7,ColorOS 3�5,8/16/2016,https://www.gsmarena.com/oppo_f1s-8239.php
Oppo F1,Phone,Qualcomm MSM8939v2 Snapdragon 616 (28 nm),Android 5,Android 5�7,ColorOS 3�5,1/1/2016,https://www.gsmarena.com/oppo_f1-7855.php
Oppo A37,Phone,Qualcomm MSM8916 Snapdragon 410 (28 nm),Android 5,Android 5�8,ColorOS 2�5,6/15/2016,https://www.gsmarena.com/oppo_a37-8162.php
Oppo A59 (2016),Phone,Mediatek MT6750 (28 nm),Android 5,Android 5.1,ColorOS 3,6/15/2016,https://www.gsmarena.com/oppo_a59_(2016)-8155.php
Oppo F1 Plus,Phone,Mediatek MT6755 Helio P10 (28 nm),Android 5,Android 5�7,ColorOS 3�5,3/14/2016,https://www.gsmarena.com/oppo_f1_plus-7967.php
Oppo R9 Plus,Phone,Qualcomm MSM8976 Snapdragon 652 (28 nm),Android 5,Android 4�7,ColorOS 1�3,3/14/2016,https://www.gsmarena.com/oppo_r9_plus-7981.php
Oppo A57 (2016),Phone,Qualcomm MSM8940 Snapdragon 435 (28 nm),Android 6,Android 7,ColorOS 3.2,11/16/2016,https://www.gsmarena.com/oppo_a57_(2016)-8468.php
Oppo R9s,Phone,Qualcomm MSM8953 Snapdragon 625 (14 nm),Android 6,Android 4�7,ColorOS 1�3,10/1/2016,https://www.gsmarena.com/oppo_r9s-8386.php
Oppo R9s Plus,Phone,Qualcomm MSM8976 Pro Snapdragon 653 (28 nm),Android 6,Android 4�7,ColorOS 1�3,10/1/2016,https://www.gsmarena.com/oppo_r9s_plus-8394.php
Oppo A77 (2017),Phone,Qualcomm MSM8953 Snapdragon 625 (14 nm),Android 7,Android 14,ColorOS 14,7/15/2017,https://www.gsmarena.com/oppo_a77_(2017)-8777.php
Oppo R11,Phone,Qualcomm SDM660 Snapdragon 660 (14 nm),Android 7,Android 4�7,ColorOS 1�3,6/15/2017,https://www.gsmarena.com/oppo_r11-8644.php
Oppo A39,Phone,Mediatek MT6750 (28 nm),Android 5,Android 5�8,ColorOS 2�5,3/14/2017,https://www.gsmarena.com/oppo_a39-8890.php
Oppo F3 Plus,Phone,Qualcomm MSM8976 Pro Snapdragon 653 (28 nm),Android 6,Android 5�7,ColorOS 3�5,3/14/2017,https://www.gsmarena.com/oppo_f3_plus-8613.php
Oppo A77 (Mediatek),Phone,Mediatek MT6750T (28 nm),Android 6,Android 14,ColorOS 14,5/14/2017,https://www.gsmarena.com/oppo_a77_(mediatek)-8685.php
Oppo F3,Phone,Mediatek MT6750T (28 nm),Android 6,Android 5�7,ColorOS 3�5,5/14/2017,https://www.gsmarena.com/oppo_f3-8669.php
Oppo F5 Youth,Phone,Mediatek MT6763T Helio P23 (16 nm),Android 7,Android 5�7,ColorOS 3�5,11/14/2017,https://www.gsmarena.com/oppo_f5_youth-8909.php
Oppo F5,Phone,Mediatek MT6763T Helio P23 (16 nm),Android 7,Android 5�7,ColorOS 3�5,10/1/2017,https://www.gsmarena.com/oppo_f5-8889.php
Oppo A71,Phone,Mediatek MT6750 (28 nm),Android 7,Android 7.1,ColorOS 3.1,9/1/2017,https://www.gsmarena.com/oppo_a71-8849.php
Oppo A3 (2018),Phone,Mediatek MT6771 Helio P60 (12 nm),Android 8,Android 10,ColorOS 6,4/18/2026,https://www.gsmarena.com/oppo_a3_(2018)-9168.php
Oppo F9 (F9 Pro),Phone,Mediatek MT6771 Helio P60 (12 nm),Android 8,Android 10,ColorOS 7,8/18/2018,https://www.gsmarena.com/oppo_f9_(f9_pro)-9286.php
Oppo RX17 Pro,Phone,Qualcomm SDM710 Snapdragon 710 (10 nm),Android 8,Android 10,ColorOS 7,11/18/2018,https://www.gsmarena.com/oppo_rx17_pro-9288.php
Oppo A71 (2018),Phone,Qualcomm SDM450 Snapdragon 450 (14 nm),Android 7,Android 7.1,ColorOS 3.1,2/14/2018,https://www.gsmarena.com/oppo_a71_(2018)-9051.php
Oppo A83,Phone,Mediatek MT6763T Helio P23 (16 nm),Android 7,Android 7.1,ColorOS 3.2,1/1/2018,https://www.gsmarena.com/oppo_a83-8957.php
Oppo A3s,Phone,Qualcomm SDM450 Snapdragon 450 (14 nm),Android 8,Android 10,ColorOS 5.1,7/15/2018,https://www.gsmarena.com/oppo_a3s-9269.php
Oppo A5 (AX5),Phone,Qualcomm SDM450 Snapdragon 450 (14 nm),Android 8,Android 10,ColorOS 6,7/15/2018,https://www.gsmarena.com/oppo_a5_(ax5)-9259.php
Oppo Find X,Phone,Qualcomm SDM845 Snapdragon 845 (10 nm),Android 8,Android 10,ColorOS 7,6/15/2018,https://www.gsmarena.com/oppo_find_x-7885.php
Oppo Find X Lamborghini,Phone,Qualcomm SDM845 Snapdragon 845 (10 nm),Android 8,Android 10,ColorOS 7,6/15/2018,https://www.gsmarena.com/oppo_find_x_lamborghini-9248.php
Oppo A1 (2018),Phone,Mediatek MT6763T Helio P23 (16 nm),Android 7,Android 5�8,ColorOS 2�5,3/18/2018,https://www.gsmarena.com/oppo_a1_(2018)-9134.php
Oppo F7 Youth,Phone,Mediatek MT6771 Helio P60 (12 nm),Android 8,Android 10,ColorOS 5.2,5/14/2018,https://www.gsmarena.com/oppo_f7_youth-9208.php
Oppo A7,Phone,Qualcomm SDM450 Snapdragon 450 (14 nm),Android 8,Android 10,ColorOS 6,11/18/2018,https://www.gsmarena.com/oppo_a7-9394.php
Oppo RX17 Neo,Phone,Qualcomm SDM660 Snapdragon 660 (14 nm),Android 8,Android 10,ColorOS 7,11/18/2018,https://www.gsmarena.com/oppo_rx17_neo-9393.php
Oppo K1,Phone,Qualcomm SDM660 Snapdragon 660 (14 nm),Android 8,Android 10,ColorOS 7,10/1/2018,https://www.gsmarena.com/oppo_k1-9361.php
Oppo A7x,Phone,Mediatek MT6771 Helio P60 (12 nm),Android 8,Android 10,ColorOS 6,9/1/2016,https://www.gsmarena.com/oppo_a7x-9317.php
Oppo A7n,Phone,Mediatek MT6765 Helio P35 (12 nm),Android 8,Android 10,ColorOS 5.2,4/19/2026,https://www.gsmarena.com/oppo_a7n-9653.php
Oppo Reno,Phone,Qualcomm SDM710 Snapdragon 710 (10 nm),Android 9,Android 10,ColorOS 11,4/19/2026,https://www.gsmarena.com/oppo_reno-9631.php
Oppo A1k,Phone,Mediatek MT6762 Helio P22 (12 nm),Android 9,Android 11,ColorOS 6,4/19/2026,https://www.gsmarena.com/oppo_a1k-9673.php
Oppo A9,Phone,Mediatek MT6771V Helio P70 (12 nm),Android 9,Android 11,ColorOS 7,4/19/2026,https://www.gsmarena.com/oppo_a9-9677.php
Oppo Reno 10x zoom,Phone,Qualcomm SM8150 Snapdragon 855 (7 nm),Android 9,Android 11,ColorOS 11,4/19/2026,https://www.gsmarena.com/oppo_reno_10x_zoom-9654.php
Oppo Reno 5G,Phone,Qualcomm SM8150 Snapdragon 855 (7 nm),Android 9,Android 11,ColorOS 11,5/19/2026,https://www.gsmarena.com/oppo_reno_5g-9676.php
Oppo Reno2,Phone,Qualcomm SDM730 Snapdragon 730G (8 nm),Android 9,Android 10,ColorOS 11,8/19/2019,https://www.gsmarena.com/oppo_reno2-9798.php
Oppo Reno2 F,Phone,Mediatek MT6771V Helio P70 (12 nm),Android 9,Android 11,ColorOS 11,10/19/2019,https://www.gsmarena.com/oppo_reno2_f-9810.php
Oppo Reno2 Z,Phone,Mediatek MT6779 Helio P90 (12 nm),Android 9,Android 11,ColorOS 11,9/19/2019,https://www.gsmarena.com/oppo_reno2_z-9809.php
Oppo A8,Phone,Mediatek MT6765V/CB Helio P35 (12 nm),Android 9,Android 11,ColorOS 7.1,12/19/2019,https://www.gsmarena.com/oppo_a8-10002.php
Oppo A91,Phone,Mediatek MT6771V Helio P70 (12 nm),Android 9,Android 11,ColorOS 11,12/19/2019,https://www.gsmarena.com/oppo_a91-10000.php
Oppo Reno3 5G,Phone,Mediatek Dimensity 1000L (7 nm),Android 10,Android 12,ColorOS 12,12/19/2019,https://www.gsmarena.com/oppo_reno3_5g-9942.php
Oppo Reno3 Pro 5G,Phone,Qualcomm SM7250 Snapdragon 765G 5G (7 nm),Android 10,Android 12,ColorOS 12,12/19/2019,https://www.gsmarena.com/oppo_reno3_pro_5g-9992.php
Oppo A5s (AX5s),Phone,Mediatek MT6765 Helio P35 (12 nm),Android 8,Android 10,ColorOS 6,3/14/2019,https://www.gsmarena.com/oppo_a5s_(ax5s)-9626.php
Oppo F11,Phone,Mediatek MT6771 Helio P70 (12 nm),Android 9,Android 11,ColorOS 11,3/14/2019,https://www.gsmarena.com/oppo_f11-9617.php
Oppo F11 Pro,Phone,Mediatek MT6771 Helio P70 (12 nm),Android 9,Android 11,ColorOS 11,3/14/2019,https://www.gsmarena.com/oppo_f11_pro-9566.php
Oppo Reno Z,Phone,Mediatek MT6779 Helio P90 (12 nm),Android 9,Android 10,ColorOS 7,5/14/2019,https://www.gsmarena.com/oppo_reno_z-9702.php
Oppo A9x,Phone,Mediatek MT6771V Helio P70 (12 nm),Android 9,Android 11,ColorOS 7,5/14/2019,https://www.gsmarena.com/oppo_a9x-9706.php
Oppo K3,Phone,Qualcomm SDM710 Snapdragon 710 (10 nm),Android 9,Android 11,ColorOS 11,5/14/2019,https://www.gsmarena.com/oppo_k3-9699.php
Oppo K5,Phone,Qualcomm SDM730 Snapdragon 730G (8 nm),Android 9,Android 10,ColorOS 11,10/1/2019,https://www.gsmarena.com/oppo_k5-9907.php
Oppo Reno Ace,Phone,Qualcomm SM8150 Snapdragon 855+ (7 nm),Android 9,Android 10,ColorOS 11,10/1/2019,https://www.gsmarena.com/oppo_reno_ace-9894.php
Oppo A11,Phone,Qualcomm SDM665 Snapdragon 665 (11 nm),Android 9,Android 11,ColorOS 7,10/1/2019,https://www.gsmarena.com/oppo_a11-9901.php
Oppo A5 (2020),Phone,Qualcomm SDM665 Snapdragon 665 (11 nm),Android 9,Android 11,ColorOS 11.1,9/1/2019,https://www.gsmarena.com/oppo_a5_(2020)-9883.php
Oppo Reno A,Phone,Qualcomm SDM710 Snapdragon 710 (10 nm),Android 9,Android 11,ColorOS 7,9/1/2019,https://www.gsmarena.com/oppo_reno_a-9808.php
Oppo A12e,Phone,Qualcomm SDM450 Snapdragon 450 (14 nm),Android 8,Android 10,ColorOS 5.1,4/20/2026,https://www.gsmarena.com/oppo_a12e-10173.php
Oppo A12,Phone,Mediatek MT6765 Helio P35 (12 nm),Android 9,Android 11,ColorOS 7.1,4/20/2026,https://www.gsmarena.com/oppo_a12-10171.php
Oppo A52,Phone,Qualcomm SM6125 Snapdragon 665 (11 nm),Android 10,Android 12,ColorOS 11.1,4/20/2026,https://www.gsmarena.com/oppo_a52-10194.php
Oppo A72,Phone,Qualcomm SM6125 Snapdragon 665 (11 nm),Android 10,Android 12,ColorOS 11,4/20/2026,https://www.gsmarena.com/oppo_a72-10196.php
Oppo A92s,Phone,Mediatek Dimensity 800 (7 nm),Android 10,Android 12,ColorOS 12,4/20/2026,https://www.gsmarena.com/oppo_a92s-10184.php
Oppo Ace2,Phone,Qualcomm SM8250 Snapdragon 865 5G (7 nm+),Android 10,Android 12,ColorOS 13,4/20/2026,https://www.gsmarena.com/oppo_ace2-10164.php
Oppo Find X2 Lite,Phone,Qualcomm SM7250 Snapdragon 765G 5G (7 nm),Android 10,Android 12,ColorOS 12,5/20/2026,https://www.gsmarena.com/oppo_find_x2_lite-10176.php
Oppo Find X2 Neo,Phone,Qualcomm SM7250 Snapdragon 765G 5G (7 nm),Android 10,Android 12,ColorOS 12,4/20/2026,https://www.gsmarena.com/oppo_find_x2_neo-10195.php
Oppo A53,Phone,Qualcomm SM4250 Snapdragon 460 (11 nm),Android 10,Android 11,ColorOS 11.1,8/20/2020,https://www.gsmarena.com/oppo_a53-10376.php
Oppo A15s,Phone,Mediatek MT6765 Helio P35 (12 nm),Android 10,Android 12,ColorOS 11.1,12/20/2020,https://www.gsmarena.com/oppo_a15s-10644.php
Oppo A53 5G,Phone,Mediatek Dimensity 720 (7 nm),Android 10,Android 12,ColorOS 11,12/20/2020,https://www.gsmarena.com/oppo_a53_5g-10608.php
Oppo A31,Phone,Mediatek MT6765V/CB Helio P35 (12 nm),Android 9,Android 11,ColorOS 7.1,2/20/2020,https://www.gsmarena.com/oppo_a31-10083.php
Oppo Reno3 Youth,Phone,Qualcomm SM7250 Snapdragon 765G 5G (7 nm),Android 10,Android 12,ColorOS 12,2/20/2020,https://www.gsmarena.com/oppo_reno3_youth-10077.php
Oppo F15,Phone,Mediatek MT6771V Helio P70 (12 nm),Android 9,Android 11,ColorOS 11,1/1/2020,https://www.gsmarena.com/oppo_f15-10009.php
Oppo A12s,Phone,Mediatek MT6765 Helio P35 (12 nm),Android 9,Android 11,ColorOS 7.1,7/20/2020,https://www.gsmarena.com/oppo_a12s-10288.php
Oppo A72 5G,Phone,Mediatek Dimensity 720 (7 nm),Android 10,Android 12,ColorOS 12,7/20/2020,https://www.gsmarena.com/oppo_a72_5g-10332.php
Oppo Reno4,Phone,Qualcomm SM7125 Snapdragon 720G (8 nm),Android 10,Android 12,ColorOS 13,7/20/2020,https://www.gsmarena.com/oppo_reno4-10348.php
Oppo Reno4 Pro,Phone,Qualcomm SM7125 Snapdragon 720G (8 nm),Android 10,Android 12,ColorOS 13,7/20/2020,https://www.gsmarena.com/oppo_reno4_pro-10327.php
Oppo A11k,Phone,Mediatek MT6765 Helio P35 (12 nm),Android 9,Android 11,ColorOS 7,6/15/2020,https://www.gsmarena.com/oppo_a11k-10694.php
Oppo Reno4 5G,Phone,Qualcomm SM7250 Snapdragon 765G 5G (7 nm),Android 10,Android 12,ColorOS 13,6/15/2020,https://www.gsmarena.com/oppo_reno4_5g-10265.php
Oppo Reno4 Pro 5G,Phone,Qualcomm SM7250 Snapdragon 765G 5G (7 nm),Android 10,Android 12,ColorOS 13,6/15/2020,https://www.gsmarena.com/oppo_reno4_pro_5g-10264.php
Oppo Find X2,Phone,Qualcomm SM8250 Snapdragon 865 5G (7 nm+),Android 10,Android 12,ColorOS 13,3/20/2020,https://www.gsmarena.com/oppo_find_x2-10048.php
Oppo Find X2 Pro,Phone,Qualcomm SM8250 Snapdragon 865 5G (7 nm+),Android 10,Android 12,ColorOS 13,3/20/2020,https://www.gsmarena.com/oppo_find_x2_pro-9529.php
Oppo Reno3,Phone,Mediatek MT6779 Helio P90 (12 nm),Android 10,Android 12,ColorOS 12,3/20/2020,https://www.gsmarena.com/oppo_reno3-10125.php
Oppo Reno3 Pro,Phone,Mediatek MT6779V Helio P95 (12 nm),Android 10,Android 12,ColorOS 12,3/20/2020,https://www.gsmarena.com/oppo_reno3_pro-10053.php
Oppo A92,Phone,Qualcomm SM6125 Snapdragon 665 (11 nm),Android 10,Android 12,ColorOS 11.1,5/14/2020,https://www.gsmarena.com/oppo_a92-10211.php
Oppo A73 5G,Phone,Mediatek Dimensity 720 (7 nm),Android 10,Android 12,ColorOS 12,11/18/2020,https://www.gsmarena.com/oppo_a73_5g-10499.php
Oppo K7x,Phone,Mediatek Dimensity 720 (7 nm),Android 10,Android 12,ColorOS 11,11/18/2020,https://www.gsmarena.com/oppo_k7x-10573.php
Oppo A15,Phone,Mediatek MT6765 Helio P35 (12 nm),Android 10,Android 12,ColorOS 7.2,10/1/2020,https://www.gsmarena.com/oppo_a15-10497.php
Oppo A53s,Phone,Qualcomm SM4250 Snapdragon 460 (11 nm),Android 10,Android 12,ColorOS 11.1,10/1/2020,https://www.gsmarena.com/oppo_a53s-10502.php
Oppo A73,Phone,Qualcomm SM6115 Snapdragon 662 (11 nm),Android 10,Android 12,ColorOS 11.1,10/1/2020,https://www.gsmarena.com/oppo_a73-10489.php
Oppo A93,Phone,Mediatek MT6779V Helio P95 (12 nm),Android 10,Android 12,ColorOS 12,10/1/2020,https://www.gsmarena.com/oppo_a93-10431.php
Oppo Reno4 F,Phone,Mediatek MT6779V Helio P95 (12 nm),Android 10,Android 12,ColorOS 12,10/1/2020,https://www.gsmarena.com/oppo_reno4_f-10478.php
Oppo Reno4 Z 5G,Phone,Mediatek Dimensity 800 (7 nm),Android 10,Android 11,ColorOS 12,9/1/2020,https://www.gsmarena.com/oppo_reno4_z_5g-10375.php
Oppo A32,Phone,Qualcomm SM4250 Snapdragon 460 (11 nm),Android 10,Android 12,ColorOS 11.1,9/1/2020,https://www.gsmarena.com/oppo_a32-10454.php
Oppo A33 (2020),Phone,Qualcomm SM4250 Snapdragon 460 (11 nm),Android 10,Android 12,ColorOS 11.1,9/1/2020,https://www.gsmarena.com/oppo_a33_(2020)-10474.php
Oppo F17,Phone,Qualcomm SM6115 Snapdragon 662 (11 nm),Android 10,Android 12,ColorOS 11.1,9/1/2020,https://www.gsmarena.com/oppo_f17-10413.php
Oppo F17 Pro,Phone,Mediatek MT6779V Helio P95 (12 nm),Android 10,Android 12,ColorOS 12,9/1/2020,https://www.gsmarena.com/oppo_f17_pro-10388.php
Oppo Reno4 Lite,Phone,Mediatek MT6779V Helio P95 (12 nm),Android 10,Android 12,ColorOS 12,9/1/2020,https://www.gsmarena.com/oppo_reno4_lite-10465.php
Oppo Reno4 SE,Phone,Mediatek Dimensity 720 (7 nm),Android 10,Android 12,ColorOS 12,9/1/2020,https://www.gsmarena.com/oppo_reno4_se-10433.php
Oppo A35,Phone,Mediatek MT6765 Helio P35 (12 nm),Android 10,Android 12,ColorOS 11.1,4/21/2026,https://www.gsmarena.com/oppo_a35-10852.php
Oppo A53s 5G,Phone,Mediatek Dimensity 700 (7 nm),Android 11,Android 13,ColorOS 13,4/21/2026,https://www.gsmarena.com/oppo_a53s_5g-10874.php
Oppo A54 5G,Phone,Qualcomm SM4350 Snapdragon 480 5G (8 nm),Android 11,Android 13,ColorOS 13,4/21/2026,https://www.gsmarena.com/oppo_a54_5g-10866.php
Oppo A74,Phone,Qualcomm SM6115 Snapdragon 662 (11 nm),Android 11,Android 13,ColorOS 13,4/21/2026,https://www.gsmarena.com/oppo_a74-10829.php
Oppo A74 5G,Phone,Qualcomm SM4350 Snapdragon 480 5G (8 nm),Android 11,Android 14�15,ColorOS 14�15,4/21/2026,https://www.gsmarena.com/oppo_a74_5g-10830.php
Oppo A94 5G,Phone,Mediatek Dimensity 800U (7 nm),Android 11,Android 14,ColorOS 14,4/21/2026,https://www.gsmarena.com/oppo_a94_5g-10799.php
Oppo F19,Phone,Qualcomm SM6115 Snapdragon 662 (11 nm),Android 11,Android 15,ColorOS 15,4/21/2026,https://www.gsmarena.com/oppo_f19-10764.php
Oppo A16s,Phone,Mediatek MT6765G Helio G35 (12 nm),Android 11,Android 13,ColorOS 13,8/21/2021,https://www.gsmarena.com/oppo_a16s-11295.php
Oppo A11s,Phone,Qualcomm SM4250 Snapdragon 460 (11 nm),Android 10,Android 12,ColorOS 11.1,12/20/2021,https://www.gsmarena.com/oppo_a11s-11288.php
Oppo K9x,Phone,Mediatek Dimensity 810 (6 nm),Android 11,Android 13,ColorOS 13,12/20/2021,https://www.gsmarena.com/oppo_k9x-11235.php
Oppo Find N,Phone,Qualcomm SM8350 Snapdragon 888 5G (5 nm),Android 11,Android 15�16,ColorOS 15�16,12/20/2021,https://www.gsmarena.com/oppo_find_n-11267.php
Oppo A55 5G,Phone,Mediatek Dimensity 700 (7 nm),Android 11,Android 13,ColorOS 13,1/21/2021,https://www.gsmarena.com/oppo_a55_5g-10703.php
Oppo A93 5G,Phone,Qualcomm SM4350 Snapdragon 480 5G (8 nm),Android 11,Android 13,ColorOS 13,1/21/2021,https://www.gsmarena.com/oppo_a93_5g-10683.php
Oppo A16,Phone,Mediatek MT6765G Helio G35 (12 nm),Android 11,Android 12,ColorOS 13,7/20/2021,https://www.gsmarena.com/oppo_a16-11021.php
Oppo A93s 5G,Phone,Mediatek Dimensity 700 (7 nm),Android 11,Android 13,ColorOS 13,7/20/2021,https://www.gsmarena.com/oppo_a93s_5g-10993.php
Oppo Reno6 Z,Phone,Mediatek Dimensity 800U (7 nm),Android 11,Android 13,ColorOS 13,7/20/2021,https://www.gsmarena.com/oppo_reno6_z-10978.php
Oppo A54,Phone,Mediatek MT6765 Helio P35 (12 nm),Android 10,Android 12,ColorOS 13,3/20/2021,https://www.gsmarena.com/oppo_a54-10818.php
